"Year","Won","Lost"
"2014","6","6"
"2013","9","4"
"2012","7","5"
"2011","6","6"
"2010","7","6"
"2009","9","4"
"2008","7","6"
"2007","5","7"
"2006","7","6"
"2005","9","3"
"2004","9","3"
"2003","11","2"
"2002","12","1"
"2001","12","0"
"2000","11","1"
"1999","9","4"
"1998","9","3"
"1997","5","6"
"1996","9","3"
"1995","8","3"
"1994","10","2"
"1993","9","3"
"1992","11","1"
"1991","12","0"
"1990","10","2"
"1989","11","1"
"1988","11","1"
"1987","12","0"
"1986","11","1"
"1985","10","2"
"1984","8","5"
"1983","11","1"
"1982","7","4"
"1981","9","2"
"1980","9","3"
"1979","5","6"
"1978","6","5"
"1977","3","8"
"1976","3","8"
"1975","2","8"
"1974","6","5"
"1973","5","6"
"1972","5","6"
"1971","4","7"
"1970","3","8"
"1969","4","6"
"1968","5","5"
"1967","7","4"
"1966","8","2"
"1965","5","4"
"1964","4","5"
"1963","3","7"
"1962","7","4"
"1961","7","4"
"1960","6","4"
"1959","6","4"
"1958","2","8"
"1957","5","4"
"1956","8","1"
"1955","6","3"
"1954","8","1"
"1953","4","5"
"1952","4","7"
"1951","8","3"
"1950","9","1"
"1949","6","3"
"1948","4","6"
"1947","2","7"
"1946","8","2"
"1945","9","1"
"1944","1","7"
"1943","5","1"
"1942","7","2"
"1941","8","2"
"1940","3","7"
"1939","5","5"
"1938","8","2"
"1937","4","4"
"1936","6","2"
"1935","5","3"
"1934","5","3"
"1933","5","1"
"1932","4","3"
"1931","4","8"
"1930","3","4"
"1929","3","2"
"1928","4","4"
"1927","3","6"
"1926","8","0"

